Column1,,,,,Column13,,Column14,Column2,Column22,Column3,Column32,Column4,Column42,Column5,Column52,Column6,Column62,Column8,Column82,Column7,Column72,Column9,Column92,Column10,Column102,Column11,Column112,Column12,Column102,,
,,,,,,,,,,,,,,,,,,,,*Look into finding total team crosses in season,,*Total crosses by player in a season,,,*Usage Rate,,,,,,
First Name,Last Name,Position,Age,Current Club,League,Modifier,Clubs Represented,Starts,Score,Minutes,Score,Gls+Ast+PK,Score,YC+(RC*5/90,Score,Pass%,Score,Pass into Final 1/3,Score,Successful Cross Into Box,Score,Tackle % (vs dribbles),Score,Pressure Success %,Score,Tkl+Int+Blk+Clr,Score,Errors,Score,Total Score,Weighted Score
Kyle,Smith,RB,28,Orlando City FC,MLS,1,Orlando City FC/Louisville,21,61.76,1889,44.12,2.7,40.91,0.16,65.27,79.6,68.92,49,45.08,1,10,36.4,67.41,25.2,40.8,145,35,0,100,52.66,52.66
Shaq,Moore,RB,23,Tenerife,Spain-Segunda Division,1,Reus/Tenerife,15,44.12,1407,20.2,2.7,40.91,0.19,59.1,73.4,40.99,17,15.64,5,50,33.3,61.67,41.3,120.9,43,-16,0,100,48.87,48.87
Sergino,Dest,RB,19,FC Barcelona,Eredivise,1.05,Jong Ajax/Ajax,16,47.06,1475,23.57,3.5,53.03,0.18,61.34,85.2,94.14,16.8,15.46,0.7,7,50.5,93.52,27.8,53.73,21,-27,0,100,47.44,47.44
Johnathan,Bornstein,LB,35,Chicago Fire,MLS,1,Queretaro/Chicago Fire,11,32.35,962,-1.89,0,0,0.09,85.71,79.5,68.47,25,23,2,20,64.3,119.07,29.4,61.69,89,7,0,100,46.86,46.86
Thomas,Thompson,RB,25,San Jose Earthquakes,MLS,1,San Jose/Reno,21,61.76,1784,38.91,2,30.3,0.37,7.56,86.5,100,60.3,55.47,2,20,50.4,93.33,26,44.78,107.7,16.35,1.3,35,45.77,45.77
Taylor,Washington,LB,27,Nashville SC,USL,0.9,Nashville SC,22,64.71,2088,54,2.7,40.91,0.12,78.71,73.4,40.99,13,11.96,6,60,60,111.11,18.5,7.46,27,-24,0,100,49.62,44.66
Hector Osvaldo,Jimenez,RB,32,Columbus Crew,MLS,1,Columbus Crew,15,44.12,1298,14.79,2,30.3,0.04,100.14,81.2,76.13,44.7,41.12,3,30,33.3,61.67,29.1,60.2,128.7,26.85,2,0,44.12,44.12
Eric,Lichaj,RB,31,Fatih Karagumruk SK,English-Championship,1.05,Hull City,31,91.18,2751,86.9,1.7,25.76,0.12,77.59,75.5,50.45,22.9,21.07,11.3,113,0,0,0,-84.58,212.9,68.95,2,0,40.94,42.98
Kyle,Duncan,RB,23,New York Red Bulls,MLS,1,New York Red Bulls/NYRB II,15,44.12,1289,14.34,3.7,56.06,0.51,-31.93,68.6,19.37,30,27.6,1.7,17,42,77.78,37.7,102.99,103.3,14.15,0,100,40.13,40.13
George,Bello,LB,18,Atlanta United FC,USL,0.9,Atlanta United FC/Atlanta 2,10,29.41,786,-10.62,0.9,13.64,0.27,36.13,74.4,45.5,37,34.04,4,40,47.4,87.78,37.1,100,98,11.5,0,100,44.31,39.88
Saad,Abdul-Salaam,RB,29,FC Cincinnati,MLS,1,Seattle/Tacoma/NYCFC,13,38.24,1240,11.91,1,15.15,0.11,79.55,81.5,77.48,19,17.48,1.7,17,22.2,41.11,24.1,35.32,73,-1,0,100,39.29,39.29
Eric,Miller,RB,27,Nashville SC,MLS,1,NYCFC/Minnesota United,10,29.41,890,-5.46,0.3,4.55,0.17,64.15,77.4,59.01,19.3,17.76,1.7,17,47.5,87.96,25.8,43.78,81.3,3.15,0,100,38.3,38.3
Mikey,Ambrose,LB,27,Inter Miami FC,USL,0.9,Atlanta/Atlanta 2,14,41.18,1200,9.93,3.3,50,0.21,53.5,68.9,20.72,16.5,15.18,1.8,18,45.9,85,29.3,61.19,33.6,-20.7,0,100,39.45,35.51
Chris,Richards,RB,20,Bayern Munich FC,Bundesliga 3,0.9,Bayern Munich/U23,27,79.41,2396,69.28,3,45.45,0.2,55.74,81,75.23,15.8,14.54,3,30,0,0,12.5,-22.39,41,-17,0,100,39.11,35.2
